dataset,model,perturbation,p,seed,accuracy,stability
Cora,SAGE,class,0.2,2,0.805,0.979
Cora,SAGE,random,0.4,2,0.747,0.868
Cora,SAGE,degree,0.4,2,0.775,0.916
Cora,SAGE,class,0.4,2,0.809,0.962
Cora,SAGE,random,0.1,3,0.777,0.953
Cora,SAGE,degree,0.1,3,0.785,0.979
Cora,SAGE,class,0.1,3,0.792,0.981
Cora,SAGE,random,0.2,3,0.763,0.924
Cora,SAGE,degree,0.2,3,0.779,0.971
Cora,SAGE,class,0.2,3,0.793,0.977
Cora,SAGE,random,0.4,3,0.726,0.844
Cora,SAGE,degree,0.4,3,0.759,0.909
Cora,SAGE,class,0.4,3,0.801,0.959
Cora,SAGE,random,0.1,4,0.778,0.964
Cora,SAGE,degree,0.1,4,0.794,0.976
Cora,SAGE,class,0.1,4,0.794,0.982
Cora,SAGE,random,0.2,4,0.76,0.903
Cora,SAGE,degree,0.2,4,0.769,0.945
Cora,SAGE,class,0.2,4,0.802,0.985
Cora,SAGE,random,0.4,4,0.727,0.853
Cora,SAGE,degree,0.4,4,0.75,0.897
Cora,SAGE,class,0.4,4,0.806,0.959
CiteSeer,GCN,random,0.1,0,0.68,0.962
CiteSeer,GCN,degree,0.1,0,0.681,0.98
CiteSeer,GCN,class,0.1,0,0.684,0.985
CiteSeer,GCN,random,0.2,0,0.663,0.946
CiteSeer,GCN,degree,0.2,0,0.682,0.97
CiteSeer,GCN,class,0.2,0,0.691,0.962
CiteSeer,GCN,random,0.4,0,0.666,0.888
CiteSeer,GCN,degree,0.4,0,0.684,0.949
CiteSeer,GCN,class,0.4,0,0.684,0.953
CiteSeer,GCN,random,0.1,1,0.684,0.961
CiteSeer,GCN,degree,0.1,1,0.684,0.992
CiteSeer,GCN,class,0.1,1,0.687,0.987
CiteSeer,GCN,random,0.2,1,0.662,0.938
CiteSeer,GCN,degree,0.2,1,0.678,0.973
CiteSeer,GCN,class,0.2,1,0.684,0.968
CiteSeer,GCN,random,0.4,1,0.643,0.864
CiteSeer,GCN,degree,0.4,1,0.669,0.942
CiteSeer,GCN,class,0.4,1,0.683,0.957
CiteSeer,GCN,random,0.1,2,0.674,0.952
CiteSeer,GCN,degree,0.1,2,0.682,0.981
CiteSeer,GCN,class,0.1,2,0.687,0.982
CiteSeer,GCN,random,0.2,2,0.668,0.931
CiteSeer,GCN,degree,0.2,2,0.681,0.962
CiteSeer,GCN,class,0.2,2,0.682,0.971
CiteSeer,GCN,random,0.4,2,0.664,0.9
CiteSeer,GCN,degree,0.4,2,0.685,0.95
CiteSeer,GCN,class,0.4,2,0.686,0.951
CiteSeer,GCN,random,0.1,3,0.667,0.975
CiteSeer,GCN,degree,0.1,3,0.675,0.982
CiteSeer,GCN,class,0.1,3,0.679,0.985
CiteSeer,GCN,random,0.2,3,0.659,0.925
CiteSeer,GCN,degree,0.2,3,0.67,0.975
CiteSeer,GCN,class,0.2,3,0.687,0.975
CiteSeer,GCN,random,0.4,3,0.644,0.874
CiteSeer,GCN,degree,0.4,3,0.661,0.949
CiteSeer,GCN,class,0.4,3,0.684,0.955
CiteSeer,GCN,random,0.1,4,0.674,0.967
CiteSeer,GCN,degree,0.1,4,0.679,0.988
CiteSeer,GCN,class,0.1,4,0.68,0.983
